EpisodeID,ChapterTitle,ID,NextID,EventType,ScreenEffect,SpeakerID,ScriptID,Score,Choice1,Choice2,Choice3,MiniGame,SpeakerImageID,ImageID,VideoID,ARFilterID,FrameID,BGM,SFX
Prolog,『밤하늘의 방문자』,0,1,Loading,,,,,,,,,,,,,,,
Prolog,『밤하늘의 방문자』,1,2,Video,,,,,,,,,,,,,,몽환적 전자음,미스터리 드론 사운드
Prolog,『밤하늘의 방문자』,2,3,Dialogue,,치즈,"""(설레는 미소를 지으며) 드디어 지구에 도착했다!!""",,,,,,9Speaker/기본_표정_치즈,,,,,,
Prolog,『밤하늘의 방문자』,3,0,Dialogue,,치즈,"""빨리 친구들을 만나고 싶어.""",,,,,,9Speaker/미소_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,0,1,Loading,FadeOut,,,,,,,,,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,1,2,Dialogue,,선생님,"""여러분, 우리 반에 아주 특별한 친구가 왔어요.""",,,,,,9Speaker/선생님,2Back/Epi1_1,,,,밝고 명랑한 느낌의 피아노 또는 마림바 중심의 음악,
Episode1,『우리 반에 새 친구가 왔어!』,2,3,Dialogue,,선생님,"""모두 반갑게 맞아주세요~!""",,,,,,9Speaker/선생님,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,3,4,Dialogue,,시스템,"""(교실 문이 열리며 외계에서 온 귀엽고 다정한 친구 치즈가 수줍게 들어온다.)""",,,,,,NONE,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,4,5,Dialogue,,치즈,"""(부끄럽지만 밝게) 안녕! 난 치즈야.""",,,,,,9Speaker/부끄_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,5,6,Dialogue,,치즈,"""먼 우주에서 지구 친구들을 만나러 왔어.""",,,,,,9Speaker/미소_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,6,7,Dialogue,,치즈,"""잘 부탁해!""",,,,,,9Speaker/미소_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,7,8,Choice,,,"""치즈에게 인사하자!""",,와! 멋지다! 외계인이야!,치즈야 반가워!,우리 친하게 지내자!,,,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,8,9,Dialogue,,치즈,"""고마워. 친하게 지내자!""",,,,,,9Speaker/미소_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,9,10,Dialogue,,시스템,"""(쉬는 시간, 치즈가 혼자 자리에 앉아 주위를 둘러보며 신기해 하고 있다.)""",,,,,,NONE,2Back/Epi1_2,,,,,쉬는 시간을 알리는 학교종소리
Episode1,『우리 반에 새 친구가 왔어!』,10,11,Dialogue,,치즈,"""지구 친구들은 쉬는 시간에 뭘 하며 놀까…?""",,,,,,9Speaker/기본2_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,11,12,Choice,,,"""치즈에게 말 걸어볼까?""",,안녕 치즈야!,"치즈야, 우리 학교 어때?",치즈야 궁금한 거 있어?,,,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,12,13,Dialogue,,치즈,"""(밝게 웃으며) 우와, 네가 먼저 말을 걸어줘서 정말 기뻐!""",,,,,,9Speaker/행복_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,13,14,Dialogue,,치즈,"""사실 나 혼자라 조금 걱정했거든.""",,,,,,9Speaker/긴장_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,14,15,Dialogue,,치즈,"""이름이 뭐야?""",,,,,,9Speaker/미소_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,15,16,NameInput,,,,,,,,,,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,16,17,Dialogue,,치즈,"""와, 이름 정말 예쁘다!""",,,,,,9Speaker/기대_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,17,18,Dialogue,,치즈,"{PlayerName}. 너랑 친구가 되고 싶어.""",,,,,,9Speaker/기대_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,18,19,Dialogue,,부기,"""(느리게 다가오며 쑥스럽게) 안녕 얘들아…""",,,,,,9Speaker/긴장_부기,2Back/Epi1_1,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,19,20,Dialogue,,부기,"""내 이름은 ‘부기’야""",,,,,,9Speaker/긴장_부기,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,20,21,Dialogue,,부기,"""나도 처음엔 많이 부끄러웠어…""",,,,,,9Speaker/긴장_부기,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,21,22,Dialogue,,부기,"""하지만 친구에게 먼저 인사하니까 기분이 좋았어...""",,,,,,9Speaker/기본_부기,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,22,23,Dialogue,,부기,"""우리 친하게 지내자.""",,,,,,9Speaker/미소_부기,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,23,24,Dialogue,,치즈,정말? 너도 그랬구나.,,,,,,9Speaker/미소_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,24,25,Dialogue,,치즈,나도 너희한테 처음 인사했을 때 되게 행복했어!,,,,,,9Speaker/미소_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,25,26,Dialogue,,치즈,우리 다같이 놀래?,,,,,,9Speaker/미소_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,26,27,Choice,,,새 친구들과 놀아보는 거 어때?,,좋아,내가 좋아하는 놀이를 알려줄게,너희랑 노는 게 기대되!,,,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,27,28,Dialogue,,치즈,지구에서는 어떤 놀이를 해?,,,,,,9Speaker/미소_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,28,29,Dialogue,,치즈,나는 지구의 놀이가 너무 궁금해!,,,,,,9Speaker/미소_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,29,30,Dialogue,,부기,우리… 숨바꼭질 하자,,,,,,9Speaker/행복_부기,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,30,31,MiniGame,,,,,,,,MiniGame_1,,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,31,32,Dialogue,,치즈,"우와, 지구 놀이 정말 재미있다!",,,,,,9Speaker/행복_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,32,33,Dialogue,,치즈,너희랑 함께 하니까 더 즐거워!,,,,,,9Speaker/행복_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,33,34,Dialogue,,부기,"맞아… {PlayerName}, 치즈와 놀아서 즐거워,",,,,,,9Speaker/행복_부기,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,34,35,Dialogue,,치즈,"{PlayerName}, 너도 즐거워?",,,,,,9Speaker/미소_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,35,36,EmotionCamera,,,치즈가 {PlayerName}의 얼굴을 보는 중🔍\n표정으로 내 감정을 알려주자.,,,,,,,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,36,40,Dialogue,,치즈,{PlayerName} 웃고있구나😄. 너가 웃으니까 나도 행복해. 앞으로도 많이 웃어줘.,25,,,,,9Speaker/행복_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,37,40,Dialogue,,치즈,{PlayerName} 슬퍼보여😢. 슬픈 일이 있었어? 나는 언제나 네 편이야.,5,,,,,9Speaker/슬픔_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,38,40,Dialogue,,치즈,{PlayerName} 놀란 것처럼 보여😲. 우리가 너무 잘 숨어서 놀랐어?,15,,,,,9Speaker/기본2_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,39,40,Dialogue,,치즈,{PlayerName} 화나보여😠. 우리가 숨바꼭질을 너무 못해서 화난거야? 처음이라 그래. 다음에는 더 잘 숨어볼게. 같이 놀아줘서 고마워.,5,,,,,9Speaker/기본_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,40,41,Dialogue,,치즈,나 지구에 와서 처음 친구가 생겼어!,,,,,,9Speaker/행복_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,41,42,Dialogue,,치즈,우리 친구가 된 기념으로 같이 사진 찍자!,,,,,,9Speaker/행복_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,42,43,StoryCamera,,,,,,,,,,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,43,44,Dialogue,,치즈,사진을 보니까 우리 정말 친한 친구 같아!,,,,,,9Speaker/부끄_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,44,45,Dialogue,,치즈,너희가 내 친구가 돼줘서 정말 고마워.,,,,,,9Speaker/미소_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,45,46,Dialogue,,치즈,함께한 오늘을 잊지 못할 거야.,,,,,,9Speaker/미소_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,46,47,Dialogue,,부기,나도… 너희랑 친구가 돼서 정말 행복해,,,,,,9Speaker/미소_부기,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,47,48,Dialogue,,치즈,우리 다음 시간에도 같이 놀자!!,,,,,,9Speaker/미소_표정_치즈,,,,,,
Episode1,『우리 반에 새 친구가 왔어!』,48,49,SaveChoice,,,오늘 기분이 어때?,,새 친구를 사귀어서 기뻐!!,"새 친구를 사귀는 일, 나쁘지 않아",치즈와 부기가 아직 낯설어..,,,,,,,,
